stage_id,floor_no,placement_no,enemy_definition_id,battle_row,battle_column
1,1,1,1,Front,Left
1,2,1,1,Front,Left
1,2,2,2,Front,Right
1,3,1,3,Front,Left
1,3,2,4,Back,Left
1,3,3,2,Front,Right
1,4,1,5,Front,Left
1,4,2,3,Middle,Right
1,4,3,4,Back,Left
1,5,1,5,Front,Left
1,5,2,3,Middle,Right
1,5,3,4,Back,Left
2,1,1,6,Front,Left
2,2,1,6,Front,Left
2,2,2,7,Front,Right
2,3,1,8,Back,Left
2,3,2,9,Front,Left
2,3,3,7,Front,Right
2,4,1,9,Front,Left
2,4,2,10,Middle,Right
2,4,3,7,Front,Right
2,5,1,11,Front,Left
2,5,2,9,Middle,Left
2,5,3,10,Back,Right
3,1,1,12,Front,Left
3,2,1,12,Front,Left
3,2,2,13,Front,Right
3,3,1,14,Back,Left
3,3,2,13,Middle,Right
3,3,3,12,Front,Left
3,4,1,15,Front,Left
3,4,2,13,Middle,Right
3,4,3,14,Back,Left
3,5,1,17,Front,Left
3,5,2,16,Front,Right
3,5,3,12,Back,Left
4,1,1,18,Front,Left
4,2,1,18,Front,Left
4,2,2,19,Front,Right
4,3,1,20,Front,Left
4,3,2,19,Middle,Left
4,3,3,21,Back,Right
4,4,1,21,Back,Right
4,4,2,19,Middle,Left
4,4,3,20,Front,Left
4,5,1,22,Front,Left
4,5,2,20,Middle,Right
4,5,3,21,Back,Left
5,1,1,23,Front,Left
5,2,1,23,Front,Left
5,2,2,24,Front,Right
5,3,1,25,Back,Left
5,3,2,24,Front,Right
5,3,3,23,Front,Left
5,4,1,26,Front,Left
5,4,2,27,Front,Right
5,4,3,24,Middle,Left
5,5,1,28,Front,Left
5,5,2,26,Middle,Right
5,5,3,27,Back,Left
6,1,1,29,Front,Left
6,2,1,29,Front,Left
6,2,2,30,Front,Right
6,3,1,31,Front,Left
6,3,2,32,Front,Right
6,4,1,31,Front,Left
6,4,2,32,Front,Right
6,4,3,30,Middle,Left
6,5,1,33,Front,Left
6,5,2,34,Front,Right
7,1,1,29,Front,Left
7,2,1,29,Front,Left
7,2,2,30,Front,Right
7,3,1,31,Front,Left
7,3,2,32,Front,Right
7,4,1,33,Front,Left
7,4,2,34,Front,Right
7,4,3,32,Back,Left
7,5,1,34,Front,Left
7,5,2,33,Back,Right
