item_id,name,flavor_text,effect_type,max_stack,change_job_to,required_level,bonus_max_hp,bonus_max_mp,bonus_strength,bonus_defense,bonus_intelligence,bonus_luck,bonus_speed,required_master_jobs,bonus_percent_max_hp,bonus_percent_max_mp,bonus_percent_strength,bonus_percent_defense,bonus_percent_intelligence,bonus_percent_luck,bonus_percent_speed
3001,命脈の種,命のぬくもりを宿す小さな種。最大HPが1上がる,StatBoost,99,,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0
3002,戦士の証,戦士への道を開く転職用の証,ChangeJob,99,Warrior,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
3003,命脈の若実,命脈樹に実る若い果実。最大HPが2上がる,StatBoost,99,,1,2,0,0,0,0,0,0,,0,0,0,0,0,0,0
3004,魔道士の証,魔道士への道を開く転職用の証,ChangeJob,99,Mage,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
3005,生命樹の雫,生命の気配を宿した雫。最大HPが1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
3006,生命樹の若枝,生命樹の若枝を煎じた秘薬。最大HPが2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,2,0,0,0,0,0,0
3007,生命樹の聖果,生命樹が稀に結ぶ神秘の果実。最大HPが5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,5,0,0,0,0,0,0
3008,星詠みの露,星の巡りを映す露。最大MPが1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
3009,星詠みの雫,夜天の魔力を溶かした雫。最大MPが2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,2,0,0,0,0,0
3010,星詠みの霊水,古き星見の塔で守られる霊水。最大MPが5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,5,0,0,0,0,0
3011,巨人王の欠片,巨人王の力の欠片。腕力が1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0
3012,巨人王の牙,古の王の闘気を宿す牙。腕力が2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,2,0,0,0,0
3013,巨人王の心核,巨人王の心臓より生まれたと伝わる核。腕力が5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,5,0,0,0,0
3014,守護竜の鱗,守りの加護を帯びた鱗。守備が1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0
3015,守護竜の甲鱗,堅牢な竜の甲鱗。守備が2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,2,0,0,0
3016,守護竜の心鱗,竜の魂が宿る心鱗。守備が5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,5,0,0,0
3017,賢者の栞,叡智の断片が記された栞。知力が1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
3018,賢者の秘典,魔導の真理に触れる秘典。知力が2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,2,0,0
3019,賢者の叡晶,賢者の記憶を封じた叡智の結晶。知力が5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0
3020,妖精王の羽,気まぐれな幸運を呼ぶ羽。運が1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0
3021,妖精王の護符,妖精王の祝福を封じた護符。運が2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,0,2,0
3022,妖精王の祝冠,幸運の奔流をもたらす宝冠。運が5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,0,5,0
3023,風精の羽片,風の精霊の羽片。素早さが1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
3024,風精の羽衣,風に溶けるような羽衣の切れ端。素早さが2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2
3025,風精の疾風珠,風精の王が遺した疾風の宝珠。素早さが5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,5
3026,命脈の宝果,命脈樹が長い歳月を経て結ぶ果実。最大HPが5上がる,StatBoost,99,,1,5,0,0,0,0,0,0,,0,0,0,0,0,0,0
3027,命脈の神果,神域の温もりを秘めた果実。最大HPが10上がる,StatBoost,99,,1,10,0,0,0,0,0,0,,0,0,0,0,0,0,0
3028,霊泉の雫,月下の泉から汲まれた雫。最大MPが1上がる,StatBoost,99,,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
3029,霊泉の小瓶,淡い魔力を満たした小瓶。最大MPが2上がる,StatBoost,99,,1,0,2,0,0,0,0,0,,0,0,0,0,0,0,0
3030,霊泉の聖杯,古い祈りを宿す杯。最大MPが5上がる,StatBoost,99,,1,0,5,0,0,0,0,0,,0,0,0,0,0,0,0
3031,霊泉の秘宝,深き泉核を封じた秘宝。最大MPが10上がる,StatBoost,99,,1,0,10,0,0,0,0,0,,0,0,0,0,0,0,0
3032,剛力の欠石,鍛冶場に伝わる力石の欠片。腕力が1上がる,StatBoost,99,,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0
3033,剛力の力石,握ると熱を帯びる力石。腕力が2上がる,StatBoost,99,,1,0,0,2,0,0,0,0,,0,0,0,0,0,0,0
3034,剛力の宝玉,古戦士の闘気を宿す宝玉。腕力が5上がる,StatBoost,99,,1,0,0,5,0,0,0,0,,0,0,0,0,0,0,0
3035,剛力の王核,巨躯の王の力を閉じ込めた核。腕力が10上がる,StatBoost,99,,1,0,0,10,0,0,0,0,,0,0,0,0,0,0,0
3036,守護の鱗片,やわらかな守りの鱗片。守備が1上がる,StatBoost,99,,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0
3037,守護の甲鱗,しなやかさと硬さを兼ねる甲鱗。守備が2上がる,StatBoost,99,,1,0,0,0,2,0,0,0,,0,0,0,0,0,0,0
3038,守護の宝殻,古竜の加護が宿る宝殻。守備が5上がる,StatBoost,99,,1,0,0,0,5,0,0,0,,0,0,0,0,0,0,0
3039,守護の聖甲片,神殿に封じられた聖なる甲片。守備が10上がる,StatBoost,99,,1,0,0,0,10,0,0,0,,0,0,0,0,0,0,0
3040,叡智の書片,微かな叡智を宿す書片。知力が1上がる,StatBoost,99,,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0
3041,叡智の秘本,古語で綴られた秘本。知力が2上がる,StatBoost,99,,1,0,0,0,0,2,0,0,,0,0,0,0,0,0,0
3042,叡智の結晶,学びの記憶を封じた結晶。知力が5上がる,StatBoost,99,,1,0,0,0,0,5,0,0,,0,0,0,0,0,0,0
3043,叡智の宝珠,賢者の祈りで磨かれた宝珠。知力が10上がる,StatBoost,99,,1,0,0,0,0,10,0,0,,0,0,0,0,0,0,0
3044,幸運の羽飾り,小さな巡りを呼ぶ羽飾り。運が1上がる,StatBoost,99,,1,0,0,0,0,0,1,0,,0,0,0,0,0,0,0
3045,幸運の護飾,柔らかな光を帯びる護飾。運が2上がる,StatBoost,99,,1,0,0,0,0,0,2,0,,0,0,0,0,0,0,0
3046,幸運の宝冠,福音を運ぶ宝冠。運が5上がる,StatBoost,99,,1,0,0,0,0,0,5,0,,0,0,0,0,0,0,0
3047,幸運の星環,星の巡りを束ねた環。運が10上がる,StatBoost,99,,1,0,0,0,0,0,10,0,,0,0,0,0,0,0,0
3048,疾風の羽片,つむじ風を纏う羽片。素早さが1上がる,StatBoost,99,,1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0
3049,疾風の羽飾り,足取りを軽くする羽飾り。素早さが2上がる,StatBoost,99,,1,0,0,0,0,0,0,2,,0,0,0,0,0,0,0
3050,疾風の風珠,追い風を閉じ込めた風珠。素早さが5上がる,StatBoost,99,,1,0,0,0,0,0,0,5,,0,0,0,0,0,0,0
3051,疾風の神珠,神速の気配を宿す神珠。素早さが10上がる,StatBoost,99,,1,0,0,0,0,0,0,10,,0,0,0,0,0,0,0
3052,鬼武者の証,鬼神の血煙を刻んだ金属板。鬼武者への転職に使われる証,ChangeJob,99,OniWarrior,30,0,0,0,0,0,0,0,Warrior,0,0,0,0,0,0,0
